id,area,sample_count,mode_fraction,original_rgb,agon_rgb,palette_index
white-0001,2946,2494,0.5272654370489174,"[252.0, 208.0, 51.0]","[255, 170, 85]",59
white-0002,899,669,0.600896860986547,"[251.0, 206.0, 52.0]","[255, 170, 85]",59
white-0003,895,667,0.5892053973013494,"[252.0, 206.0, 51.0]","[255, 170, 85]",59
white-0004,3186,2490,0.3437751004016064,"[251.5, 206.0, 49.0]","[255, 170, 85]",59
white-0005,3142,2451,0.48306813545491634,"[252.0, 209.0, 52.0]","[255, 170, 85]",59
white-0006,204,99,0.3838383838383838,"[246.0, 204.0, 50.0]","[255, 170, 85]",59
white-0007,205,102,0.38235294117647056,"[246.0, 205.0, 54.0]","[255, 170, 85]",59
white-0008,187,83,0.42168674698795183,"[250.0, 204.0, 44.0]","[255, 170, 85]",59
white-0009,211,105,0.37142857142857144,"[249.0, 209.0, 55.0]","[255, 170, 85]",59
white-0010,1015,725,0.5517241379310345,"[251.0, 206.0, 50.0]","[255, 170, 85]",59
white-0011,1030,739,0.4614343707713126,"[253.0, 210.0, 52.0]","[255, 170, 85]",59
white-0012,1033,746,0.5013404825737265,"[253.0, 210.0, 52.0]","[255, 170, 85]",59
white-0013,1589,1120,0.38571428571428573,"[251.0, 205.0, 50.0]","[255, 170, 85]",59
white-0014,1608,1128,0.3528368794326241,"[253.0, 209.0, 51.0]","[255, 170, 85]",59
white-0015,881,600,0.41,"[250.0, 206.0, 50.0]","[255, 170, 85]",59
white-0016,1946,1604,0.6596009975062345,"[253.0, 209.0, 53.0]","[255, 170, 85]",59
white-0017,1128,755,0.5072847682119205,"[252.0, 210.0, 54.0]","[255, 170, 85]",59
white-0018,629,420,0.4095238095238095,"[0.0, 181.0, 204.0]","[0, 170, 170]",6
white-0019,636,425,0.39294117647058824,"[0.0, 179.0, 201.0]","[0, 170, 170]",6
white-0020,1094,721,0.3855755894590846,"[252.0, 210.0, 54.0]","[255, 170, 85]",59
white-0021,1951,1609,0.7632069608452455,"[252.0, 210.0, 53.0]","[255, 170, 85]",59
white-0022,1276,648,0.24074074074074073,"[249.0, 216.0, 85.0]","[255, 255, 85]",62
white-0023,569,341,0.4604105571847507,"[250.0, 203.0, 45.0]","[255, 170, 85]",59
white-0024,431,246,0.5203252032520326,"[1.0, 167.0, 189.0]","[0, 170, 170]",6
white-0025,454,259,0.4247104247104247,"[1.0, 163.0, 185.0]","[0, 170, 170]",6
white-0026,559,331,0.45317220543806647,"[252.0, 209.0, 54.0]","[255, 170, 85]",59
white-0027,1302,1047,0.612225405921681,"[252.0, 209.0, 52.0]","[255, 170, 85]",59
white-0028,1293,1040,0.6538461538461539,"[253.0, 210.0, 54.0]","[255, 170, 85]",59
white-0029,1295,1042,0.7332053742802304,"[253.0, 210.0, 54.0]","[255, 170, 85]",59
white-0030,1282,1031,0.5092143549951503,"[252.0, 209.0, 53.0]","[255, 170, 85]",59
white-0031,2844,1986,0.49244712990936557,"[252.0, 208.0, 49.0]","[255, 170, 85]",59
white-0032,6832,4785,0.4622779519331243,"[250.0, 206.0, 51.0]","[255, 170, 85]",59
white-0033,11657,7603,0.5810864132579245,"[250.0, 206.0, 53.0]","[255, 170, 85]",59
white-0034,2835,1980,0.35353535353535354,"[252.0, 207.0, 49.0]","[255, 170, 85]",59
white-0035,309,106,0.46226415094339623,"[0.0, 165.0, 185.0]","[0, 170, 170]",6
white-0036,316,108,0.6388888888888888,"[0.0, 179.0, 199.0]","[0, 170, 170]",6
white-0037,11884,6239,0.3883635197948389,"[252.0, 209.0, 53.0]","[255, 170, 85]",59
white-0038,1378,669,0.5171898355754858,"[250.0, 210.0, 52.0]","[255, 170, 85]",59
white-0039,1366,665,0.6090225563909775,"[250.0, 210.0, 53.0]","[255, 170, 85]",59
white-0040,941,721,0.5423023578363384,"[253.0, 209.0, 53.0]","[255, 170, 85]",59
white-0041,914,696,0.5948275862068966,"[253.0, 209.0, 53.0]","[255, 170, 85]",59
white-0042,915,697,0.4232424677187948,"[252.0, 209.0, 53.0]","[255, 170, 85]",59
white-0043,929,710,0.5901408450704225,"[253.0, 210.0, 55.0]","[255, 170, 85]",59
white-0044,6871,1753,0.30062749572162006,"[245.0, 205.0, 55.0]","[255, 170, 85]",59
white-0045,387,237,0.3924050632911392,"[252.0, 209.0, 56.0]","[255, 170, 85]",59
white-0046,438,281,0.45907473309608543,"[251.0, 206.0, 52.0]","[255, 170, 85]",59
white-0047,413,260,0.6269230769230769,"[252.0, 206.0, 52.0]","[255, 170, 85]",59
white-0048,407,257,0.4708171206225681,"[251.0, 205.0, 51.0]","[255, 170, 85]",59
white-0049,2574,1914,0.5663531870428422,"[1.0, 177.0, 197.0]","[0, 170, 170]",6
