# MIDI File Information
Filename,Beethoven__Moonlight_Sonata_3rd_mvt.mid
Duration (seconds),521.82
Tempo Adjustment Factor,1.00
Resolution (ticks/beat),570

# Tempo Changes
Time (seconds),Tempo (BPM)
0.0000,60.00
6.3158,60.02
12.6291,60.05
18.9398,60.07
25.2480,60.10
31.5537,60.12
37.8569,60.14
44.1575,60.17
50.4557,60.19
56.7513,60.22
63.0444,60.24
69.3350,60.26
75.6230,60.29
81.9086,60.31
88.1916,60.34
94.4721,60.36
100.7501,60.39
107.0257,60.41
113.2987,60.43
119.5691,60.46
125.8371,60.48
132.1026,60.51
138.3656,60.53
144.6260,60.55
150.8840,60.58
157.1395,60.60
163.3924,60.63
169.6429,60.65
175.8908,60.68
182.1363,60.70
188.3793,60.72
194.6197,60.75
200.8577,60.77
207.0932,60.80
213.3262,60.82
219.5567,60.85
225.7847,60.87
232.0102,60.89
238.2332,60.92
244.4537,60.94
250.6718,60.97
256.8873,60.99
263.1004,61.02
269.3110,61.04
275.5191,61.07
281.7247,61.09
287.9279,61.11
294.1285,61.14
300.3267,61.16
306.5224,61.19
312.7157,61.21
318.9064,61.24
325.0947,61.26
331.2805,61.29
337.4638,61.31
343.6447,61.33
349.8231,61.36
355.9990,61.38
362.1724,61.41
368.3434,61.43
374.5119,61.46
380.6780,61.48
386.8416,61.51
393.0027,61.53
399.1613,61.56
405.3175,61.58
411.4713,61.60
417.6225,61.63
423.7713,61.65
429.9177,61.68
436.0616,61.70
442.2030,61.73
448.3420,61.75
454.4785,61.78
460.6126,61.80
466.7442,61.83
472.8734,61.85
479.0001,61.88
485.1243,61.90
491.2461,61.93
497.3655,61.95
503.4824,61.98
509.5969,62.00
515.7089,62.03
521.8185,62.05

# Instrument 1: Unnamed 
Note #,Start (s),End (s),Duration (s),Pitch,Note Name,Velocity,Note-on Velocity,Note-off Velocity
1,0.3614,0.4930,0.1316,37,C#2,44,44,0
2,0.4509,0.5088,0.0579,44,G#2,34,34,0
3,0.5789,0.6702,0.0912,49,C#3,34,34,0
4,0.5789,0.6772,0.0982,44,G#2,34,34,0
5,0.5789,0.6877,0.1088,52,E3,34,34,0
6,0.6702,0.7386,0.0684,56,G#3,35,35,0
7,0.7772,0.8789,0.1018,37,C#2,35,35,0
8,0.8000,0.9298,0.1298,49,C#3,36,36,0
9,0.9105,1.0105,0.1000,44,G#2,37,37,0
10,0.9105,1.0404,0.1298,52,E3,37,37,0
11,0.9912,1.1123,0.1211,56,G#3,37,37,0
12,1.0526,1.1947,0.1421,61,C#4,38,38,0
13,1.0772,1.1684,0.0912,37,C#2,38,38,0
14,1.1807,1.3737,0.1930,52,E3,39,39,0
15,1.2930,1.4491,0.1561,56,G#3,38,38,0
16,1.2947,1.3860,0.0912,44,G#2,38,38,0
17,1.3246,1.5211,0.1965,61,C#4,38,38,0
18,1.4509,1.5719,0.1211,64,E4,37,37,0
19,1.4561,1.5772,0.1211,37,C#2,36,36,0
20,1.5789,1.7526,0.1737,56,G#3,35,35,0
21,1.6421,1.7421,0.1000,44,G#2,35,35,0
22,1.6825,1.8053,0.1228,61,C#4,35,35,0
23,1.7333,1.8667,0.1333,64,E4,34,34,0
24,1.8246,1.9263,0.1018,37,C#2,33,33,0
25,1.9070,2.1333,0.2263,61,C#4,34,34,0
26,2.0105,2.0912,0.0807,44,G#2,34,34,0
27,2.0404,2.2140,0.1737,64,E4,35,35,0
28,2.1930,2.3035,0.1105,37,C#2,36,36,0
29,2.3228,2.4860,0.1632,64,E4,37,37,0
30,2.3789,2.4474,0.0684,44,G#2,38,38,0
31,2.5246,2.6263,0.1018,37,C#2,39,39,0
32,2.6263,2.7491,0.1228,44,G#2,40,40,0
33,2.8158,2.9368,0.1211,49,C#3,61,61,0
34,2.8263,2.9982,0.1719,37,C#2,62,62,0
35,3.0632,3.1860,0.1228,44,G#2,40,40,0
36,3.2439,3.3351,0.0912,36,C2,45,45,0
37,3.3667,3.5175,0.1509,44,G#2,33,33,0
38,3.4702,3.6053,0.1351,48,C3,34,34,0
39,3.5456,3.6772,0.1316,51,D#3,35,35,0
40,3.6263,3.7579,0.1316,56,G#3,35,35,0
41,3.6316,3.7333,0.1018,36,C2,35,35,0
42,3.7579,3.9632,0.2053,48,C3,36,36,0
43,3.8175,3.8877,0.0702,44,G#2,37,37,0
44,3.8596,4.0140,0.1544,51,D#3,37,37,0
45,3.9526,4.0544,0.1018,56,G#3,38,38,0
46,4.0281,4.1386,0.1105,60,C4,39,39,0
47,4.0316,4.1018,0.0702,36,C2,39,39,0
48,4.1649,4.2456,0.0807,44,G#2,40,40,0
49,4.1649,4.2982,0.1333,51,D#3,40,40,0
50,4.2684,4.4456,0.1772,56,G#3,39,39,0
51,4.3333,4.4772,0.1439,60,C4,38,38,0
52,4.4018,4.4596,0.0579,36,C2,38,38,0
53,4.4070,4.5070,0.1000,63,D#4,38,38,0
54,4.5351,4.7298,0.1947,56,G#3,37,37,0
55,4.5667,4.6684,0.1018,44,G#2,37,37,0
56,4.6386,4.8123,0.1737,60,C4,38,38,0
57,4.7211,4.8509,0.1298,63,D#4,38,38,0
58,4.7474,4.8667,0.1193,36,C2,39,39,0
59,4.8877,5.1123,0.2246,60,C4,40,40,0
60,4.9825,5.0807,0.0982,44,G#2,40,40,0
61,5.0000,5.1404,0.1404,63,D#4,41,41,0
62,5.1596,5.2702,0.1105,36,C2,42,42,0
63,5.2877,5.4298,0.1421,63,D#4,43,43,0
64,5.3526,5.4632,0.1105,44,G#2,44,44,0
65,5.4807,5.6316,0.1509,36,C2,45,45,0
66,5.6298,5.7404,0.1105,44,G#2,47,47,0
67,5.8421,6.0158,0.1737,48,C3,72,72,0
68,5.8439,6.0053,0.1614,36,C2,72,72,0
69,6.0684,6.1702,0.1018,44,G#2,46,46,0
70,6.2579,6.3877,0.1298,35,B1,50,50,0
71,6.3596,6.5104,0.1508,49,C#3,41,41,0
72,6.4596,6.5578,0.0982,44,G#2,35,35,0
73,6.4701,6.6490,0.1789,53,F3,35,35,0
74,6.5490,6.7016,0.1526,56,G#3,35,35,0
75,6.6332,6.7560,0.1228,35,B1,36,36,0
76,6.6420,6.8261,0.1841,61,C#4,36,36,0
77,6.7682,6.9839,0.2157,53,F3,37,37,0
78,6.8314,6.9313,0.1000,44,G#2,38,38,0
79,6.8401,7.0138,0.1736,56,G#3,38,38,0
80,6.9436,7.0962,0.1526,61,C#4,39,39,0
81,7.0313,7.1313,0.1000,35,B1,39,39,0
82,7.0488,7.1681,0.1193,65,F4,39,39,0
83,7.1821,7.3785,0.1964,56,G#3,41,41,0
84,7.2452,7.3575,0.1122,44,G#2,41,41,0
85,7.2663,7.4381,0.1719,61,C#4,40,40,0
86,7.3575,7.5118,0.1543,65,F4,40,40,0
87,7.4680,7.5574,0.0894,35,B1,39,39,0
88,7.5679,7.7591,0.1912,61,C#4,39,39,0
89,7.6784,7.8625,0.1841,65,F4,40,40,0
90,7.6819,7.7398,0.0579,44,G#2,40,40,0
91,7.8397,7.9432,0.1035,35,B1,42,42,0
92,7.9520,8.1817,0.2297,65,F4,43,43,0
93,8.0397,8.1309,0.0912,44,G#2,43,43,0
94,8.2220,8.3290,0.1070,35,B1,45,45,0
95,8.3957,8.4869,0.0912,44,G#2,46,46,0
96,8.5570,8.6903,0.1333,35,B1,48,48,0
97,8.6622,8.7780,0.1157,44,G#2,49,49,0
98,8.8428,9.0147,0.1719,47,B2,68,68,0
99,8.8551,9.0165,0.1613,35,B1,69,69,0
100,9.0586,9.1147,0.0561,44,G#2,41,41,0
101,9.2743,9.3847,0.1105,33,A1,47,47,0
102,9.3882,9.5917,0.2034,49,C#3,33,33,0
103,9.4707,9.6951,0.2245,54,F#3,34,34,0
104,9.5320,9.6320,0.1000,45,A2,34,34,0
105,9.5847,9.7372,0.1526,57,A3,35,35,0
106,9.6460,9.7460,0.1000,61,C#4,35,35,0
107,9.7092,9.8600,0.1508,33,A1,36,36,0
108,9.8109,9.9827,0.1719,61,C#4,37,37,0
109,9.8617,9.9635,0.1017,45,A2,37,37,0
110,9.9143,10.0354,0.1210,66,F#4,37,37,0
111,10.0459,10.1879,0.1420,33,A1,39,39,0
112,10.2002,10.2914,0.0912,45,A2,40,40,0
113,10.3914,10.6404,0.2490,33,A1,54,54,0
114,10.6334,10.7228,0.0894,45,A2,50,50,0
115,10.8140,10.9139,0.1000,33,A1,35,35,0
116,10.9613,11.1454,0.1841,49,C#3,33,33,0
117,11.0227,11.2384,0.2157,52,E3,34,34,0
118,11.0332,11.1454,0.1122,45,A2,34,34,0
119,11.1472,11.2682,0.1210,55,G3,35,35,0
120,11.1998,11.2682,0.0684,61,C#4,35,35,0
121,11.2244,11.3541,0.1298,33,A1,35,35,0
122,11.3769,11.5277,0.1508,61,C#4,37,37,0
123,11.4190,11.5190,0.1000,45,A2,37,37,0
124,11.4681,11.5681,0.1000,64,E4,37,37,0
125,11.5330,11.7575,0.2245,33,A1,38,38,0
126,11.6768,11.7873,0.1105,45,A2,39,39,0
127,11.9065,12.0398,0.1333,33,A1,64,64,0
128,12.0907,12.2012,0.1105,45,A2,64,64,0
129,12.3011,12.4221,0.1210,44,G#2,72,72,0
130,12.3134,12.4554,0.1420,32,G#1,74,74,0
131,12.6150,15.3620,2.7469,56,G#3,33,33,0
132,12.6255,12.7132,0.0877,60,C4,33,33,0
133,12.7816,12.9341,0.1525,60,C4,33,33,0
134,12.9744,13.2671,0.2927,61,C#4,33,33,0
135,13.1988,13.4354,0.2367,63,D#4,35,35,0
136,13.4074,13.6843,0.2770,64,E4,36,36,0
137,13.6160,13.7685,0.1525,66,F#4,38,38,0
138,13.8158,13.9666,0.1508,63,D#4,40,40,0
139,13.9596,14.1524,0.1928,66,F#4,41,41,0
140,14.1945,14.4118,0.2174,64,E4,43,43,0
141,14.7957,14.8992,0.1034,66,F#4,40,40,0
142,14.9868,15.1919,0.2051,64,E4,39,39,0
143,15.1656,15.3409,0.1753,63,D#4,37,37,0
144,15.3374,15.4601,0.1227,61,C#4,36,36,0
145,15.5145,18.3666,2.8521,56,G#3,43,43,0
146,15.5355,15.6372,0.1017,60,C4,44,44,0
147,15.7336,15.8440,0.1104,60,C4,34,34,0
148,15.9089,16.1333,0.2244,60,C4,35,35,0
149,16.0965,16.3489,0.2524,61,C#4,37,37,0
150,16.3103,16.5031,0.1928,63,D#4,39,39,0
151,16.5172,16.7240,0.2069,64,E4,40,40,0
152,16.6662,16.8625,0.1963,66,F#4,42,42,0
153,16.8765,17.0203,0.1437,63,D#4,43,43,0
154,17.0361,17.1991,0.1630,66,F#4,45,45,0
155,17.2447,17.5865,0.3418,64,E4,47,47,0
156,17.8284,17.9406,0.1122,66,F#4,45,45,0
157,18.0265,18.2316,0.2051,64,E4,43,43,0
158,18.2246,18.3771,0.1525,63,D#4,41,41,0
159,18.3508,18.4595,0.1087,61,C#4,40,40,0
160,18.5576,18.6576,0.0999,56,G#3,39,39,0
161,18.5576,18.6593,0.1017,60,C4,39,39,0
162,18.7364,18.8469,0.1104,56,G#3,38,38,0
163,18.7470,18.8364,0.0894,61,C#4,38,38,0
164,18.9573,19.0572,0.0999,56,G#3,39,39,0
165,18.9678,19.0590,0.0911,60,C4,39,39,0
166,19.1553,19.2657,0.1104,56,G#3,41,41,0
167,19.1658,19.2342,0.0683,61,C#4,41,41,0
168,19.3551,19.4550,0.0999,60,C4,43,43,0
169,19.3656,19.4655,0.0999,56,G#3,43,43,0
170,19.5531,19.6232,0.0701,56,G#3,44,44,0
171,19.5531,19.6635,0.1104,61,C#4,44,44,0
172,19.7458,19.8545,0.1086,60,C4,46,46,0
173,19.7564,19.8440,0.0876,56,G#3,46,46,0
174,19.8755,20.0034,0.1279,61,C#4,47,47,0
175,19.9263,20.1454,0.2190,56,G#3,48,48,0
176,20.0174,20.1366,0.1192,60,C4,59,59,0
