# MIDI File Information
Filename,Beethoven__Ode_to_Joy.mid
Duration (seconds),40.80
Tempo Adjustment Factor,1.00
Resolution (ticks/beat),480

# Tempo Changes
Time (seconds),Tempo (BPM)
0.0000,100.00

# Time Signature Changes
Time (seconds),Numerator,Denominator
0.0000,4,4

# Instrument 1: RightHand 
Note #,Start (s),End (s),Duration (s),Pitch,Note Name,Velocity,Note-on Velocity,Note-off Velocity
1,2.4000,3.0000,0.6000,64,E4,127,121,0
2,3.0000,3.6000,0.6000,64,E4,127,123,0
3,3.6000,4.2000,0.6000,65,F4,127,115,0
4,4.2000,4.8000,0.6000,67,G4,127,118,0
5,4.8000,5.4000,0.6000,67,G4,127,122,0
6,5.4000,6.0000,0.6000,65,F4,127,114,0
7,6.0000,6.6000,0.6000,64,E4,127,116,0
8,6.6000,7.2000,0.6000,62,D4,127,115,0
9,7.2000,7.8000,0.6000,60,C4,127,116,0
10,7.8000,8.4000,0.6000,60,C4,127,121,0
11,8.4000,9.0000,0.6000,62,D4,127,115,0
12,9.0000,9.6000,0.6000,64,E4,127,121,0
13,9.6000,10.5000,0.9000,64,E4,127,123,0
14,10.5000,10.8000,0.3000,62,D4,127,107,0
15,10.8000,12.0000,1.2000,62,D4,127,117,0
16,12.0000,12.6000,0.6000,64,E4,127,121,0
17,12.6000,13.2000,0.6000,64,E4,127,121,0
18,13.2000,13.8000,0.6000,65,F4,127,114,0
19,13.8000,14.4000,0.6000,67,G4,127,119,0
20,14.4000,15.0000,0.6000,67,G4,127,122,0
21,15.0000,15.6000,0.6000,65,F4,127,107,0
22,15.6000,16.2000,0.6000,64,E4,127,111,0
23,16.2000,16.8000,0.6000,62,D4,127,117,0
24,16.8000,17.4000,0.6000,60,C4,127,114,0
25,17.4000,18.0000,0.6000,60,C4,127,118,0
26,18.0000,18.6000,0.6000,62,D4,127,117,0
27,18.6000,19.2000,0.6000,64,E4,127,117,0
28,19.2000,20.1000,0.9000,62,D4,127,118,0
29,20.1000,20.4000,0.3000,60,C4,127,116,0
30,20.4000,21.6000,1.2000,60,C4,127,124,0
31,21.6000,22.2000,0.6000,62,D4,127,121,0
32,22.2000,22.8000,0.6000,62,D4,127,119,0
33,22.8000,23.4000,0.6000,64,E4,127,119,0
34,23.4000,24.0000,0.6000,60,C4,127,115,0
35,24.0000,24.6000,0.6000,62,D4,127,117,0
36,24.6000,24.9000,0.3000,64,E4,127,122,0
37,24.9000,25.2000,0.3000,65,F4,127,104,0
38,25.2000,25.8000,0.6000,64,E4,127,119,0
39,25.8000,26.4000,0.6000,60,C4,127,115,0
40,26.4000,27.0000,0.6000,62,D4,127,115,0
41,27.0000,27.3000,0.3000,64,E4,127,119,0
42,27.3000,27.6000,0.3000,65,F4,127,112,0
43,27.6000,28.2000,0.6000,64,E4,127,122,0
44,28.2000,28.8000,0.6000,62,D4,127,116,0
45,28.8000,29.4000,0.6000,60,C4,127,118,0
46,29.4000,30.0000,0.6000,62,D4,127,109,0
47,30.0000,30.6000,0.6000,55,G3,127,117,0
48,30.6000,31.8000,1.2000,64,E4,127,124,0
49,31.8000,32.4000,0.6000,64,E4,127,124,0
50,32.4000,33.0000,0.6000,65,F4,127,99,0
51,33.0000,33.6000,0.6000,67,G4,127,114,0
52,33.6000,34.2000,0.6000,67,G4,127,115,0
53,34.2000,34.8000,0.6000,65,F4,127,108,0
54,34.8000,35.4000,0.6000,64,E4,127,114,0
55,35.4000,36.0000,0.6000,62,D4,127,113,0
56,36.0000,36.6000,0.6000,60,C4,127,115,0
57,36.6000,37.2000,0.6000,60,C4,127,117,0
58,37.2000,37.8000,0.6000,62,D4,127,113,0
59,37.8000,38.4000,0.6000,64,E4,127,121,0
60,38.4000,39.3000,0.9000,62,D4,127,122,0
61,39.3000,39.6000,0.3000,60,C4,127,115,0
62,39.6000,40.8000,1.2000,60,C4,127,126,0

# Control Changes for Instrument 1
Time (s),Control Number,Control Name,Value
0.0000,7,Volume,100
0.0000,10,Pan,64
0.0000,93,Chorus,0
0.0000,91,Reverb,0

# Instrument 2: LeftHand 
Note #,Start (s),End (s),Duration (s),Pitch,Note Name,Velocity,Note-on Velocity,Note-off Velocity
1,2.4000,4.8000,2.4000,55,G3,127,110,0
2,2.4000,4.8000,2.4000,48,C3,127,111,0
3,4.8000,7.2000,2.4000,55,G3,127,115,0
4,4.8000,7.2000,2.4000,47,B2,127,118,0
5,7.2000,8.4000,1.2000,52,E3,127,121,0
6,7.2000,8.4000,1.2000,55,G3,127,121,0
7,8.4000,9.0000,0.6000,50,D3,127,117,0
8,9.0000,9.6000,0.6000,48,C3,127,112,0
9,9.6000,12.0000,2.4000,55,G3,127,116,0
10,12.0000,14.4000,2.4000,55,G3,127,119,0
11,12.0000,14.4000,2.4000,48,C3,127,114,0
12,14.4000,16.8000,2.4000,55,G3,127,117,0
13,14.4000,16.8000,2.4000,47,B2,127,114,0
14,16.8000,18.0000,1.2000,55,G3,127,107,0
15,16.8000,18.0000,1.2000,52,E3,127,106,0
16,18.0000,18.6000,0.6000,50,D3,127,121,0
17,18.6000,19.2000,0.6000,48,C3,127,95,0
18,19.2000,20.1000,0.9000,55,G3,127,110,0
19,19.2000,20.1000,0.9000,53,F3,127,110,0
20,20.1000,20.4000,0.3000,52,E3,127,111,0
21,20.1000,20.4000,0.3000,55,G3,127,111,0
22,20.4000,21.6000,1.2000,52,E3,127,114,0
23,20.4000,21.6000,1.2000,55,G3,127,114,0
24,21.6000,22.8000,1.2000,55,G3,127,106,0
25,21.6000,22.8000,1.2000,47,B2,127,110,0
26,22.8000,24.0000,1.2000,48,C3,127,114,0
27,22.8000,24.0000,1.2000,55,G3,127,112,0
28,24.0000,25.2000,1.2000,55,G3,127,116,0
29,24.0000,25.2000,1.2000,47,B2,127,114,0
30,25.2000,26.4000,1.2000,48,C3,127,115,0
31,25.2000,26.4000,1.2000,55,G3,127,118,0
32,26.4000,27.6000,1.2000,55,G3,127,116,0
33,26.4000,27.6000,1.2000,47,B2,127,114,0
34,27.6000,28.8000,1.2000,56,G#3,127,100,0
