# MIDI File Information
Filename,Bond.mid
Duration (seconds),111.07
Tempo Adjustment Factor,1.00
Resolution (ticks/beat),480

# Tempo Changes
Time (s),Tempo (BPM)
0.0000,143.00

# Instrument 1: Sequence*Demixed 02
Bank,Program,Program Name,Is Drum
0,35,Fretless Bass,False
Note #,Start (s),End (s),Duration (s),Pitch,Note Name,Velocity,Original Velocity,Note-off Velocity
1,3.3540,3.5883,0.2343,35,B1,127,127,0
2,3.6337,3.7587,0.1250,35,B1,112,112,0
3,4.0559,4.5236,0.4677,35,B1,127,127,0
4,4.6154,4.8295,0.2142,35,B1,127,127,0
5,4.8925,4.9869,0.0944,35,B1,114,114,0
6,5.3147,5.7823,0.4677,35,B1,127,127,0
7,5.8741,5.9528,0.0787,35,B1,110,110,0
8,5.9808,6.1014,0.1206,35,B1,106,106,0
9,6.1818,6.2718,0.0900,35,B1,106,106,0
10,6.2893,6.4904,0.2010,35,B1,127,127,0
11,6.5052,6.6364,0.1311,35,B1,127,127,0
12,6.7133,7.5411,0.8278,28,E1,122,122,0
13,7.5481,8.3584,0.8103,28,E1,111,111,0
14,8.3916,9.2220,0.8304,28,E1,96,96,0
15,9.2325,10.0568,0.8243,28,E1,88,88,0
16,10.0673,10.8540,0.7867,28,E1,110,110,0
17,10.9091,11.7308,0.8217,28,E1,117,117,0
18,11.7439,12.5717,0.8278,28,E1,127,127,0
19,12.5891,13.3671,0.7780,40,E2,96,96,0
20,13.4239,14.2351,0.8112,28,E1,114,114,0
21,14.2613,15.0918,0.8304,28,E1,120,120,0
22,15.1066,15.9397,0.8330,28,E1,102,102,0
23,15.9414,16.7631,0.8217,28,E1,115,115,0
24,16.7832,17.5411,0.7579,28,E1,116,116,0
25,17.6241,18.4091,0.7850,28,E1,113,113,0
26,18.4571,19.2745,0.8173,28,E1,120,120,0
27,19.3007,20.1241,0.8234,28,E1,112,112,0
28,20.1328,20.8802,0.7474,28,E1,91,91,0
29,20.9764,21.7456,0.7692,28,E1,105,105,0
30,21.8199,22.6355,0.8156,28,E1,127,127,0
31,22.6573,23.4807,0.8234,28,E1,113,113,0
32,23.4921,24.3182,0.8260,28,E1,90,90,0
33,24.3374,25.1241,0.7867,28,E1,107,107,0
34,25.1678,25.9790,0.8112,28,E1,126,126,0
35,26.0113,26.8243,0.8129,40,E2,106,106,0
36,26.8487,27.2071,0.3584,28,E1,126,126,0
37,27.2744,27.6241,0.3497,35,B1,107,107,0
38,27.6853,28.0743,0.3890,36,C2,115,115,0
39,28.1075,28.4851,0.3776,28,E1,113,113,0
40,28.5314,28.9091,0.3776,37,C#2,126,126,0
41,28.9423,29.3243,0.3820,28,E1,106,106,0
42,29.3680,29.7788,0.4108,36,C2,125,125,0
43,29.7919,30.1661,0.3741,28,E1,111,111,0
44,30.2071,30.5944,0.3872,35,B1,105,105,0
45,30.6223,31.0271,0.4047,28,E1,97,97,0
46,31.0533,31.4379,0.3846,36,C2,119,119,0
47,31.4641,31.8575,0.3934,28,E1,106,106,0
48,31.8855,32.2832,0.3977,37,C#2,127,127,0
49,32.3120,32.6634,0.3514,28,E1,111,111,0
50,32.7272,33.1311,0.4038,36,C2,114,114,0
51,33.1398,33.5419,0.4021,28,E1,96,96,0
52,33.5664,33.9598,0.3934,35,B1,109,109,0
53,33.9816,34.3636,0.3820,28,E1,104,104,0
54,34.4056,34.7814,0.3759,36,C2,116,116,0
55,34.8269,35.2272,0.4003,28,E1,104,104,0
56,35.2491,35.6442,0.3951,37,C#2,125,125,0
57,35.6599,36.0620,0.4021,28,E1,111,111,0
58,36.0813,36.4816,0.4003,36,C2,117,117,0
59,36.5078,36.8837,0.3759,28,E1,102,102,0
60,36.9160,37.3077,0.3916,35,B1,107,107,0
61,37.3426,37.7316,0.3890,28,E1,98,98,0
62,37.7596,38.1643,0.4047,36,C2,118,118,0
63,38.1748,38.5577,0.3829,28,E1,101,101,0
64,38.6014,38.9877,0.3864,37,C#2,127,127,0
65,39.0227,39.3855,0.3628,28,E1,104,104,0
66,39.4335,39.8514,0.4178,36,C2,115,115,0
67,39.8575,40.1792,0.3217,28,E1,95,95,0
68,40.2814,40.6792,0.3977,35,B1,110,110,0
69,40.6993,41.1162,0.4170,28,E1,94,94,0
70,41.1188,41.5314,0.4126,36,C2,118,118,0
71,41.5340,41.8662,0.3322,28,E1,110,110,0
72,41.9597,42.3557,0.3960,37,C#2,124,124,0
73,42.3820,42.7639,0.3820,28,E1,102,102,0
74,42.7902,43.1617,0.3715,36,C2,114,114,0
75,43.2141,43.6118,0.3977,31,G1,97,97,0
76,43.6363,43.9903,0.3540,28,E1,115,115,0
77,44.0533,44.4554,0.4021,31,G1,105,105,0
78,44.4799,44.8557,0.3759,36,C2,118,118,0
79,44.8968,45.2552,0.3584,28,E1,105,105,0
80,45.3120,45.6748,0.3628,37,C#2,125,125,0
81,45.7272,46.1363,0.4091,28,E1,112,112,0
82,46.1582,46.5515,0.3934,36,C2,121,121,0
83,46.5708,46.9772,0.4065,35,B1,117,117,0
84,46.9930,47.3924,0.3995,28,E1,119,119,0
85,47.4082,47.6136,0.2054,35,B1,125,125,0
86,47.6923,47.7972,0.1049,28,E1,74,74,0
87,47.8321,48.2255,0.3934,36,C2,126,126,0
88,48.2491,48.5944,0.3453,28,E1,122,122,0
89,48.6713,48.8828,0.2115,37,C#2,125,125,0
90,48.9510,49.0777,0.1267,28,E1,107,107,0
91,49.0909,49.4187,0.3278,31,G1,111,111,0
92,49.5078,49.7438,0.2360,36,C2,127,127,0
93,49.7902,49.8819,0.0918,28,E1,91,91,0
94,49.9274,50.0568,0.1294,31,G1,127,127,0
95,50.0699,50.1940,0.1241,33,A1,95,95,0
96,50.2097,50.7185,0.5087,28,E1,127,127,0
97,50.7692,51.0227,0.2535,35,B1,127,127,0
98,51.0769,51.1687,0.0918,28,E1,80,80,0
99,51.1861,51.5708,0.3846,36,C2,125,125,0
100,51.6040,51.9624,0.3584,28,E1,120,120,0
101,52.0279,52.3994,0.3715,37,C#2,127,127,0
102,52.4475,52.8339,0.3864,28,E1,103,103,0
103,52.8671,53.0874,0.2203,31,G1,127,127,0
104,53.1468,53.2447,0.0979,28,E1,83,83,0
105,53.2779,53.6931,0.4152,35,B1,127,127,0
106,53.7062,54.1040,0.3977,28,E1,126,126,0
107,54.1258,54.3592,0.2334,35,B1,127,127,0
108,54.4073,54.5235,0.1163,28,E1,93,93,0
109,54.5454,54.9344,0.3890,36,C2,127,127,0
110,54.9624,55.3409,0.3785,28,E1,121,121,0
111,55.3846,55.7735,0.3890,37,C#2,124,124,0
112,55.8041,56.1931,0.3890,28,E1,118,118,0
113,56.2237,56.4379,0.2142,36,C2,127,127,0
114,56.5096,56.6127,0.1031,28,E1,90,90,0
115,56.6433,56.7762,0.1329,31,G1,127,127,0
116,56.7832,56.8811,0.0979,33,A1,95,95,0
117,56.9204,57.3207,0.4003,28,E1,127,127,0
118,57.3487,57.4711,0.1224,28,E1,80,80,0
119,57.4798,57.7141,0.2343,35,B1,127,127,0
120,57.7639,57.8863,0.1224,40,E2,83,83,0
121,57.9020,58.2884,0.3864,42,F#2,122,122,0
122,58.3216,58.5795,0.2579,43,G2,123,123,0
123,58.6101,58.9615,0.3514,40,E2,127,127,0
124,59.0209,59.1127,0.0918,35,B1,103,103,0
125,59.1582,59.5148,0.3566,38,D2,118,118,0
126,59.5804,59.8426,0.2622,37,C#2,103,103,0
127,59.8601,59.9624,0.1023,36,C2,102,102,0
128,59.9999,60.3889,0.3890,31,G1,127,127,0
129,60.4195,60.8190,0.3995,28,E1,119,119,0
130,60.8347,61.0401,0.2054,35,B1,125,125,0
131,61.1188,61.2237,0.1049,28,E1,74,74,0
132,61.2587,61.6520,0.3934,36,C2,126,126,0
133,61.6756,62.0209,0.3453,28,E1,122,122,0
134,62.0978,62.3094,0.2115,37,C#2,125,125,0
135,62.3776,62.5043,0.1267,28,E1,107,107,0
136,62.5174,62.8452,0.3278,31,G1,111,111,0
137,62.9344,63.1704,0.2360,36,C2,127,127,0
138,63.2167,63.3085,0.0918,28,E1,91,91,0
139,63.3540,63.4833,0.1294,31,G1,127,127,0
140,63.4964,63.6206,0.1241,33,A1,95,95,0
141,63.6363,64.1450,0.5087,28,E1,127,127,0
142,64.1957,64.4492,0.2535,35,B1,127,127,0
143,64.5034,64.5952,0.0918,28,E1,80,80,0
144,64.6127,64.9973,0.3846,36,C2,125,125,0
145,65.0305,65.3889,0.3584,28,E1,120,120,0
146,65.4545,65.8260,0.3715,37,C#2,127,127,0
147,65.8741,66.2604,0.3864,28,E1,103,103,0
148,66.2936,66.5139,0.2203,31,G1,127,127,0
149,66.5734,66.6713,0.0979,28,E1,83,83,0
150,66.7045,67.1083,0.4038,35,B1,127,127,0
151,67.1328,67.5305,0.3977,28,E1,126,126,0
152,67.5524,67.7858,0.2334,35,B1,127,127,0
153,67.8338,67.9501,0.1163,28,E1,93,93,0
154,67.9720,68.3609,0.3890,36,C2,127,127,0
155,68.3889,68.7674,0.3785,28,E1,121,121,0
156,68.8111,69.2001,0.3890,37,C#2,124,124,0
157,69.2307,69.6197,0.3890,28,E1,118,118,0
158,69.6503,69.8644,0.2142,36,C2,127,127,0
159,69.9361,70.0393,0.1031,28,E1,90,90,0
160,70.0699,70.2027,0.1329,31,G1,127,127,0
161,70.2097,70.3076,0.0979,33,A1,95,95,0
162,70.3470,70.7473,0.4003,28,E1,127,127,0
163,70.7753,70.8977,0.1224,28,E1,80,80,0
164,70.9064,71.1407,0.2343,35,B1,127,127,0
165,71.1905,71.3129,0.1224,40,E2,83,83,0
166,71.3286,71.7150,0.3864,42,F#2,122,122,0
167,71.7482,72.0060,0.2579,43,G2,123,123,0
168,72.0366,72.3880,0.3514,40,E2,127,127,0
169,72.4475,72.5393,0.0918,35,B1,103,103,0
170,72.5847,72.9781,0.3934,38,D2,118,118,0
171,73.0069,73.2403,0.2334,37,C#2,103,103,0
172,73.2866,73.4134,0.1267,35,B1,102,102,0
173,73.4265,73.8242,0.3977,31,G1,127,127,0
174,73.8461,74.2368,0.3907,28,E1,126,126,0
175,74.2674,74.6503,0.3829,35,B1,119,119,0
176,74.6809,74.9213,0.2404,31,G1,126,126,0
177,74.9650,75.0847,0.1198,33,A1,117,117,0
178,75.1048,75.4545,0.3496,35,B1,124,124,0
179,75.5174,75.9108,0.3934,28,E1,125,125,0
180,75.9352,76.3067,0.3715,31,G1,112,112,0
181,76.3636,76.7613,0.3977,33,A1,120,120,0
182,76.7831,77.1634,0.3802,31,G1,111,111,0
183,77.2001,77.6136,0.4135,28,E1,127,127,0
184,77.6223,77.9606,0.3383,35,B1,114,114,0
185,78.0375,78.4370,0.3995,31,G1,123,123,0
186,78.4615,78.8636,0.4021,35,B1,127,127,0
187,78.8828,79.2788,0.3960,28,E1,127,127,0
188,79.2980,79.7132,0.4152,45,A2,117,117,0
189,79.7158,80.1066,0.3907,43,G2,120,120,0
190,80.1328,80.5261,0.3934,39,D#2,127,127,0
191,80.5567,80.7910,0.2343,35,B1,127,127,0
192,80.8365,80.9615,0.1250,35,B1,112,112,0
193,81.2587,81.7263,0.4677,35,B1,127,127,0
194,81.8181,82.0323,0.2142,35,B1,127,127,0
195,82.0952,82.1896,0.0944,35,B1,114,114,0
196,82.5174,82.9851,0.4677,35,B1,127,127,0
197,83.0768,83.1555,0.0787,35,B1,110,110,0
198,83.1835,83.3041,0.1206,35,B1,106,106,0
199,83.3845,83.4746,0.0900,35,B1,106,106,0
200,83.4920,83.6931,0.2010,35,B1,127,127,0
201,83.7080,83.8391,0.1311,35,B1,127,127,0
202,83.9134,84.3006,0.3872,28,E1,127,127,0
203,84.3373,84.6870,0.3496,35,B1,107,107,0
204,84.7482,85.1372,0.3890,36,C2,115,115,0
205,85.1704,85.5480,0.3776,28,E1,113,113,0
206,85.5943,85.9719,0.3776,37,C#2,126,126,0
207,86.0052,86.3872,0.3820,28,E1,106,106,0
208,86.4309,86.8417,0.4108,36,C2,125,125,0
209,86.8548,87.2289,0.3741,28,E1,111,111,0
210,87.2700,87.6573,0.3872,35,B1,105,105,0
211,87.6852,88.0899,0.4047,28,E1,97,97,0
212,88.1162,88.5008,0.3846,36,C2,119,119,0
213,88.5270,88.9204,0.3934,28,E1,106,106,0
214,88.9483,89.3461,0.3977,37,C#2,127,127,0
215,89.3749,89.7263,0.3514,28,E1,111,111,0
216,89.7901,90.1940,0.4038,36,C2,114,114,0
217,90.2027,90.6048,0.4021,28,E1,96,96,0
218,90.6293,91.0226,0.3934,35,B1,109,109,0
219,91.0445,91.4265,0.3820,28,E1,104,104,0
220,91.4684,91.8443,0.3759,36,C2,116,116,0
221,91.8898,92.2901,0.4003,28,E1,104,104,0
222,92.3120,92.7071,0.3951,37,C#2,125,125,0
223,92.7228,93.1249,0.4021,28,E1,111,111,0
224,93.1441,93.5445,0.4003,36,C2,117,117,0
225,93.5707,93.9466,0.3759,28,E1,102,102,0
226,93.9789,94.3705,0.3916,35,B1,107,107,0
227,94.4055,94.7945,0.3890,28,E1,98,98,0
228,94.8225,95.2272,0.4047,36,C2,118,118,0
229,95.2377,95.6205,0.3829,28,E1,101,101,0
230,95.6642,96.0506,0.3864,37,C#2,127,127,0
231,96.0856,96.4483,0.3628,28,E1,104,104,0
232,96.4964,96.9142,0.4178,36,C2,115,115,0
233,96.9204,97.2420,0.3217,28,E1,95,95,0
234,97.3443,97.6590,0.3147,35,B1,110,110,0
235,97.7621,98.1791,0.4170,28,E1,94,94,0
236,98.1817,98.5943,0.4126,36,C2,118,118,0
237,98.5969,98.9291,0.3322,28,E1,110,110,0
238,99.0226,99.4186,0.3960,37,C#2,124,124,0
239,99.4448,99.8268,0.3820,28,E1,102,102,0
240,99.8530,100.2246,0.3715,36,C2,114,114,0
241,100.2770,100.6747,0.3977,28,E1,97,97,0
242,100.6992,101.0532,0.3540,28,E1,127,127,0
243,101.9579,102.2683,0.3103,28,E1,120,120,0
244,103.2167,103.5488,0.3322,28,E1,126,126,0
245,104.4754,104.7787,0.3033,28,E1,127,127,0
246,106.7831,110.2709,3.4878,28,E1,108,108,0

# Control Changes for Instrument 1
Time (s),Control Number,Control Name,Value
0.4545,7,Volume,115
0.4545,10,Pan,64
0.4545,11,Control 11,100
0.4589,91,Reverb,0
0.4589,93,Chorus,0
0.8479,101,Control 101,0
0.8496,100,Control 100,0
0.8523,6,Control 6,12
0.8540,100,Control 100,127
0.8540,101,Control 101,127
104.6808,11,Control 11,100
107.8032,11,Control 11,98
107.8863,11,Control 11,97
107.9807,11,Control 11,96
108.0436,11,Control 11,95
108.1555,11,Control 11,94
108.1878,11,Control 11,93
108.2621,11,Control 11,91
108.3189,11,Control 11,88
108.3845,11,Control 11,87
108.4177,11,Control 11,86
108.4501,11,Control 11,85
108.4833,11,Control 11,84
108.5488,11,Control 11,83
108.6144,11,Control 11,80
108.6467,11,Control 11,79
108.6948,11,Control 11,78
108.7298,11,Control 11,77
108.7630,11,Control 11,76
108.8242,11,Control 11,74
108.8653,11,Control 11,71
108.9002,11,Control 11,70
108.9335,11,Control 11,69
108.9658,11,Control 11,68
108.9990,11,Control 11,67
109.0314,11,Control 11,66
109.0646,11,Control 11,65
109.0969,11,Control 11,64
109.1319,11,Control 11,61
109.1826,11,Control 11,60
109.2455,11,Control 11,58
109.2787,11,Control 11,57
109.3111,11,Control 11,55
109.3460,11,Control 11,52
109.3985,11,Control 11,49
109.4641,11,Control 11,43
109.5121,11,Control 11,39
109.5515,11,Control 11,35
109.6127,11,Control 11,31
109.6765,11,Control 11,29
109.7088,11,Control 11,28
109.7420,11,Control 11,26
109.8050,11,Control 11,24
109.8487,11,Control 11,22
109.8906,11,Control 11,20
109.9256,11,Control 11,17
109.9606,11,Control 11,16
109.9955,11,Control 11,14
110.0366,11,Control 11,12
110.0716,11,Control 11,11
110.1135,11,Control 11,8
110.1459,11,Control 11,7
110.1852,11,Control 11,5
110.2272,11,Control 11,3

# Instrument 2: Sequence*Demixed 03
Bank,Program,Program Name,Is Drum
0,11,Vibraphone,False
Note #,Start (s),End (s),Duration (s),Pitch,Note Name,Velocity,Original Velocity,Note-off Velocity
1,6.7133,7.5586,0.8453,59,B3,89,89,0
2,7.5542,8.4222,0.8680,60,C4,97,97,0
3,8.3916,9.2176,0.8260,61,C#4,104,104,0
4,9.2281,10.0411,0.8129,60,C4,74,74,0
5,10.0655,10.9676,0.9021,59,B3,96,96,0
6,10.9091,11.7412,0.8322,60,C4,110,110,0
7,11.7482,12.6241,0.8759,61,C#4,127,127,0
8,12.5891,13.3890,0.7998,60,C4,101,101,0
9,13.4266,14.2150,0.7885,59,B3,45,45,0
10,14.2631,15.2098,0.9467,60,C4,70,70,0
11,15.1066,15.9283,0.8217,61,C#4,87,87,0
12,15.9397,16.7631,0.8234,60,C4,58,58,0
13,16.7832,17.6722,0.8890,59,B3,41,41,0
14,17.6267,18.4659,0.8392,60,C4,68,68,0
15,18.4633,19.3138,0.8505,61,C#4,86,86,0
16,19.3024,20.0979,0.7955,60,C4,64,64,0
17,20.1372,21.0446,0.9073,59,B3,50,50,0
18,20.9790,21.8243,0.8453,60,C4,84,84,0
19,21.8182,22.6923,0.8741,61,C#4,90,90,0
20,22.6617,23.4939,0.8322,60,C4,63,63,0
21,23.4895,24.3356,0.8462,59,B3,49,49,0
22,24.3356,25.1853,0.8496,60,C4,69,69,0
23,25.1748,26.0446,0.8698,61,C#4,90,90,0
24,26.0157,26.8461,0.8304,60,C4,65,65,0
25,26.8505,27.7229,0.8724,59,B3,51,51,0
26,27.6940,28.5402,0.8462,60,C4,74,74,0
27,28.5314,29.4143,0.8829,61,C#4,96,96,0
28,29.3750,30.2010,0.8260,60,C4,66,66,0
29,30.2098,31.0664,0.8566,59,B3,48,48,0
30,31.0507,31.9073,0.8566,60,C4,75,75,0
31,31.8811,32.7578,0.8767,61,C#4,101,101,0
32,32.7290,33.5926,0.8636,60,C4,74,74,0
33,33.5664,34.4379,0.8715,59,B3,56,56,0
34,34.4073,35.2596,0.8523,60,C4,77,77,0
35,35.2421,36.0638,0.8217,61,C#4,91,91,0
36,36.0839,36.9160,0.8322,60,C4,64,64,0
37,36.9248,37.7902,0.8654,59,B3,49,49,0
38,37.7578,38.4589,0.7010,60,C4,91,91,0
39,38.6057,39.4012,0.7955,61,C#4,107,107,0
40,39.4423,40.2316,0.7893,60,C4,80,80,0
41,40.2771,41.1293,0.8523,59,B3,62,62,0
42,41.1188,41.9886,0.8698,60,C4,85,85,0
43,41.9597,42.8076,0.8479,61,C#4,100,100,0
44,42.7928,43.6162,0.8234,60,C4,65,65,0
45,43.6293,44.3986,0.7692,59,B3,52,52,0
46,44.4755,45.3540,0.8785,60,C4,86,86,0
47,45.3164,46.1713,0.8549,61,C#4,106,106,0
48,46.1512,46.9886,0.8374,60,C4,87,87,0
49,46.9886,47.2683,0.2797,59,B3,92,92,0
50,83.9160,84.7726,0.8566,59,B3,48,48,0
51,84.7569,85.6031,0.8462,60,C4,74,74,0
52,85.5943,86.4772,0.8829,61,C#4,96,96,0
53,86.4379,87.2639,0.8260,60,C4,66,66,0
54,87.2726,88.1293,0.8566,59,B3,48,48,0
55,88.1135,88.9702,0.8566,60,C4,75,75,0
56,88.9440,89.8207,0.8767,61,C#4,101,101,0
57,89.7919,90.6555,0.8636,60,C4,74,74,0
58,90.6293,91.5008,0.8715,59,B3,56,56,0
59,91.4702,92.3225,0.8523,60,C4,77,77,0
60,92.3050,93.1267,0.8217,61,C#4,91,91,0
61,93.1468,93.9789,0.8322,60,C4,64,64,0
62,93.9877,94.8531,0.8654,59,B3,49,49,0
63,94.8207,95.5218,0.7010,60,C4,91,91,0
64,95.6686,96.4641,0.7955,61,C#4,107,107,0
65,96.5051,97.2945,0.7893,60,C4,80,80,0
66,97.3399,98.1922,0.8523,59,B3,62,62,0
67,98.1817,99.0515,0.8698,60,C4,85,85,0
68,99.0226,99.8705,0.8479,61,C#4,100,100,0
69,99.8557,100.6791,0.8234,60,C4,65,65,0
70,100.6922,101.4614,0.7692,59,B3,52,52,0
71,106.7805,110.2752,3.4948,55,G3,110,110,0
72,106.7831,110.2621,3.4790,59,B3,108,108,0
73,106.7849,110.2639,3.4790,61,C#4,127,127,0
74,106.7892,110.2272,3.4379,63,D#4,114,114,0
75,106.7919,110.2202,3.4283,66,F#4,127,127,0

# Control Changes for Instrument 2
Time (s),Control Number,Control Name,Value
0.4764,7,Volume,100
0.4764,10,Pan,20
0.4764,11,Control 11,100
0.4808,91,Reverb,127
0.4808,93,Chorus,0
0.8566,101,Control 101,0
0.8584,100,Control 100,0
0.8610,6,Control 6,2
0.8628,100,Control 100,127
0.8628,101,Control 101,127
106.8093,7,Volume,115
106.8137,11,Control 11,127

# Instrument 3: Sequence*Demixed 04
Bank,Program,Program Name,Is Drum
0,28,Electric Guitar (muted),False
Note #,Start (s),End (s),Duration (s),Pitch,Note Name,Velocity,Original Velocity,Note-off Velocity
1,13.4266,13.6250,0.1984,40,E2,127,127,0
2,13.6294,13.7194,0.0900,42,F#2,86,86,0
3,13.7325,13.7998,0.0673,42,F#2,116,116,0
