# MIDI File Information
Filename,Brahms__Sonata_F_minor.mid
Duration (seconds),759.88
Tempo Adjustment Factor,1.00
Resolution (ticks/beat),570

# Tempo Changes
Time (seconds),Tempo (BPM)
0.0000,60.00
6.3158,60.02
12.6291,60.05
18.9398,60.07
25.2480,60.10
31.5537,60.12
37.8569,60.14
44.1575,60.17
50.4557,60.19
56.7513,60.22
63.0444,60.24
69.3350,60.26
75.6230,60.29
81.9086,60.31
88.1916,60.34
94.4721,60.36
100.7501,60.39
107.0257,60.41
113.2987,60.43
119.5691,60.46
125.8371,60.48
132.1026,60.51
138.3656,60.53
144.6260,60.55
150.8840,60.58
157.1395,60.60
163.3924,60.63
169.6429,60.65
175.8908,60.68
182.1363,60.70
188.3793,60.72
194.6197,60.75
200.8577,60.77
207.0932,60.80
213.3262,60.82
219.5567,60.85
225.7847,60.87
232.0102,60.89
238.2332,60.92
244.4537,60.94
250.6718,60.97
256.8873,60.99
263.1004,61.02
269.3110,61.04
275.5191,61.07
281.7247,61.09
287.9279,61.11
294.1285,61.14
300.3267,61.16
306.5224,61.19
312.7157,61.21
318.9064,61.24
325.0947,61.26
331.2805,61.29
337.4638,61.31
343.6447,61.33
349.8231,61.36
355.9990,61.38
362.1724,61.41
368.3434,61.43
374.5119,61.46
380.6780,61.48
386.8416,61.51
393.0027,61.53
399.1613,61.56
405.3175,61.58
411.4713,61.60
417.6225,61.63
423.7713,61.65
429.9177,61.68
436.0616,61.70
442.2030,61.73
448.3420,61.75
454.4785,61.78
460.6126,61.80
466.7442,61.83
472.8734,61.85
479.0001,61.88
485.1243,61.90
491.2461,61.93
497.3655,61.95
503.4824,61.98
509.5969,62.00
515.7089,62.03
521.8185,62.05
527.9257,62.07
534.0304,62.10
540.1326,62.12
546.2325,62.15
552.3298,62.17
558.4248,62.20
564.5173,62.22
570.6074,62.25
576.6950,62.27
582.7802,62.30
588.8630,62.32
594.9433,62.35
601.0212,62.37
607.0967,62.40
613.1698,62.42
619.2404,62.45
625.3086,62.47
631.3743,62.50
637.4377,62.52
643.4986,62.55
649.5571,62.57
655.6131,62.60
661.6668,62.62
667.7180,62.65
673.7668,62.67
679.8132,62.70
685.8572,62.72
691.8987,62.75
697.9379,62.77
703.9746,62.80
710.0089,62.82
716.0408,62.85
722.0703,62.87
728.0974,62.90
734.1220,62.92
740.1443,62.95
746.1641,62.97
752.1816,63.00
758.1966,63.03

# Instrument 1: Unnamed 
Note #,Start (s),End (s),Duration (s),Pitch,Note Name,Velocity,Note-on Velocity,Note-off Velocity
1,0.6754,1.8930,1.2175,60,C4,37,37,0
2,1.4561,1.8895,0.4333,63,D#4,33,33,0
3,1.8228,2.7982,0.9754,56,G#3,35,35,0
4,2.5246,3.0684,0.5439,60,C4,33,33,0
5,2.9351,3.5281,0.5930,53,F3,35,35,0
6,3.3947,3.8754,0.4807,56,G#3,33,33,0
7,3.7667,4.3333,0.5667,49,C#3,33,33,0
8,3.8386,4.7561,0.9175,65,F4,38,38,0
9,4.3298,4.8018,0.4719,53,F3,33,33,0
10,4.6053,5.2684,0.6632,46,A#2,33,33,0
11,4.6877,5.5965,0.9088,61,C#4,40,40,0
12,5.1684,5.5579,0.3895,49,C#3,33,33,0
13,5.4789,6.2702,0.7912,43,G2,33,33,0
14,5.5930,6.5981,1.0052,58,A#3,40,40,0
15,6.0579,6.4421,0.3842,46,A#2,33,33,0
16,6.3403,7.1190,0.7786,44,G#2,33,33,0
17,6.4649,6.6420,0.1771,60,C4,37,37,0
18,6.6279,6.7595,0.1315,61,C#4,42,42,0
19,6.7332,6.8735,0.1403,60,C4,41,41,0
20,6.8366,6.9664,0.1298,61,C#4,40,40,0
21,6.9419,7.0330,0.0912,60,C4,39,39,0
22,6.9980,7.5188,0.5208,48,C3,39,39,0
23,7.0260,7.1049,0.0789,61,C#4,39,39,0
24,7.0909,7.1698,0.0789,60,C4,38,38,0
25,7.1663,7.2347,0.0684,61,C#4,38,38,0
26,7.2207,7.3557,0.1350,60,C4,38,38,0
27,7.3066,7.4399,0.1333,58,A#3,39,39,0
28,7.3838,8.3150,0.9312,46,A#2,40,40,0
29,7.4048,7.6153,0.2104,60,C4,40,40,0
30,7.5784,8.5815,1.0031,61,C#4,41,41,0
31,7.9871,8.4325,0.4454,49,C#3,33,33,0
32,8.3746,9.0813,0.7067,43,G2,33,33,0
33,8.4465,9.4128,0.9663,58,A#3,38,38,0
34,8.8692,9.3076,0.4384,46,A#2,33,33,0
35,9.1936,9.8284,0.6348,44,G#2,33,33,0
36,9.2918,10.2616,0.9698,60,C4,40,40,0
37,9.7162,10.2212,0.5051,48,C3,33,33,0
38,10.0774,10.7228,0.6454,43,G2,33,33,0
39,10.1599,11.0455,0.8856,63,D#4,42,42,0
40,10.5772,11.0262,0.4489,46,A#2,33,33,0
41,10.9122,11.5698,0.6576,41,F2,34,34,0
42,11.4681,11.9048,0.4367,44,G#2,33,33,0
43,11.8031,12.8447,1.0416,40,E2,33,33,0
44,12.3993,12.8447,0.4453,50,D3,33,33,0
45,12.8079,13.7738,0.9659,39,D#2,35,35,0
46,13.7159,14.1261,0.4102,51,D#3,33,33,0
47,14.1314,14.7274,0.5960,55,G3,33,33,0
48,14.5924,15.1341,0.5417,58,A#3,33,33,0
49,15.0341,15.5635,0.5294,63,D#4,33,33,0
50,15.9737,16.9081,0.9343,63,D#4,35,35,0
51,16.8292,17.3358,0.5066,66,F#4,34,34,0
52,17.2236,17.7197,0.4961,59,B3,34,34,0
53,17.6724,18.3000,0.6276,63,D#4,33,33,0
54,18.0405,18.8101,0.7696,56,G#3,35,35,0
55,18.4928,18.9608,0.4680,59,B3,33,33,0
56,18.8592,19.7844,0.9252,52,E3,34,34,0
57,19.3271,19.7090,0.3820,56,G#3,33,33,0
58,19.6530,20.1962,0.5432,49,C#3,35,35,0
59,19.7266,20.5659,0.8393,64,E4,40,40,0
60,20.1366,20.5659,0.4293,52,E3,33,33,0
61,20.4240,21.1214,0.6974,46,A#2,35,35,0
62,20.5081,21.3579,0.8499,61,C#4,40,40,0
63,20.9356,21.3054,0.3697,49,C#3,33,33,0
64,21.2353,21.8801,0.6448,47,B2,33,33,0
65,21.3106,21.4315,0.1209,63,D#4,40,40,0
66,21.4070,21.5402,0.1332,64,E4,44,44,0
67,21.5262,21.6383,0.1121,63,D#4,43,43,0
68,21.6015,21.7259,0.1244,64,E4,43,43,0
69,21.6996,21.8118,0.1121,63,D#4,42,42,0
70,21.7785,22.2131,0.4346,51,D#3,41,41,0
71,21.7978,21.9082,0.1104,64,E4,41,41,0
72,21.8959,21.9853,0.0894,63,D#4,40,40,0
73,21.9607,22.0816,0.1209,64,E4,39,39,0
74,22.0571,22.1254,0.0683,63,D#4,39,39,0
75,22.1219,22.2446,0.1227,61,C#4,38,38,0
76,22.1570,22.9841,0.8271,49,C#3,39,39,0
77,22.2288,22.3725,0.1437,63,D#4,39,39,0
78,22.3690,23.2977,0.9287,64,E4,40,40,0
79,22.8474,23.3941,0.5467,52,E3,34,34,0
80,23.1996,23.8900,0.6904,46,A#2,33,33,0
81,23.2714,24.2440,0.9725,61,C#4,37,37,0
82,23.6710,24.1493,0.4784,49,C#3,33,33,0
83,24.0267,24.8625,0.8358,47,B2,34,34,0
84,24.1003,25.0237,0.9235,63,D#4,40,40,0
85,24.5453,24.9414,0.3960,51,D#3,33,33,0
86,24.8818,25.5002,0.6185,46,A#2,34,34,0
87,25.3671,25.8348,0.4677,49,C#3,33,33,0
88,25.7244,26.4601,0.7357,44,G#2,35,35,0
89,26.3060,26.8104,0.5045,47,B2,33,33,0
90,26.7334,27.3096,0.5763,40,E2,35,35,0
91,27.2396,27.7230,0.4834,44,G#2,33,33,0
92,27.6127,28.7407,1.1280,39,D#2,35,35,0
93,28.3133,28.8388,0.5255,48,C3,33,33,0
94,28.7477,28.9999,0.2522,51,D#3,33,33,0
95,29.1225,29.5867,0.4642,60,C4,33,33,0
96,29.5166,30.1157,0.5990,63,D#4,33,33,0
97,29.9825,30.2225,0.2400,60,C4,33,33,0
98,30.2943,30.8023,0.5080,51,D#3,35,35,0
99,30.7567,31.1036,0.3468,48,C3,33,33,0
100,31.0247,32.1017,1.0770,39,D#2,35,35,0
101,31.7271,32.2541,0.5270,48,C3,33,33,0
102,32.1630,32.6480,0.4850,51,D#3,33,33,0
103,32.5570,33.1050,0.5480,60,C4,33,33,0
104,32.9807,33.5672,0.5865,63,D#4,33,33,0
105,33.4779,33.9769,0.4990,61,C#4,33,33,0
106,33.8789,34.6108,0.7319,51,D#3,33,33,0
107,34.5215,34.9854,0.4640,49,C#3,33,33,0
108,34.9154,35.8941,0.9787,44,G#2,33,33,0
109,35.8031,36.3721,0.5690,51,D#3,33,33,0
110,36.2811,36.7188,0.4377,56,G#3,33,33,0
111,36.7241,37.2056,0.4815,60,C4,33,33,0
112,37.1688,37.8866,0.7178,63,D#4,33,33,0
113,41.4798,41.5235,0.0438,41,F2,33,33,0
114,46.6330,47.1544,0.5213,65,F4,35,35,0
115,47.2979,47.4868,0.1889,65,F4,33,33,0
116,47.6110,48.0729,0.4619,65,F4,35,35,0
117,48.2636,48.5172,0.2537,65,F4,33,33,0
118,48.6205,48.9371,0.3167,65,F4,36,36,0
119,49.0718,49.3395,0.2677,65,F4,33,33,0
120,49.4112,49.7594,0.3481,65,F4,36,36,0
121,49.8871,50.1618,0.2747,65,F4,33,33,0
122,58.0134,59.1811,1.1677,64,E4,48,48,0
123,59.3314,59.7964,0.4650,64,E4,45,45,0
124,59.7283,60.6565,0.9282,62,D4,48,48,0
125,60.9484,61.4903,0.5419,62,D4,46,46,0
126,61.3260,61.9326,0.6066,60,C4,49,49,0
127,62.1074,63.3869,1.2795,60,C4,50,50,0
128,63.2645,64.4056,1.1410,62,D4,51,51,0
129,64.2431,65.2269,0.9838,64,E4,50,50,0
130,65.0853,66.4553,1.3699,65,F4,44,44,0
131,66.7820,68.5801,1.7981,65,F4,39,39,0
132,68.7758,70.3096,1.5338,65,F4,37,37,0
133,70.4808,71.8310,1.3502,65,F4,37,37,0
134,71.9585,73.1899,1.2314,65,F4,38,38,0
135,73.4833,74.9348,1.4515,65,F4,38,38,0
136,75.2405,76.6444,1.4039,65,F4,39,39,0
137,77.0250,78.4550,1.4300,63,D#4,36,36,0
138,78.7937,79.9042,1.1104,64,E4,36,36,0
139,80.3319,81.8457,1.5138,63,D#4,37,37,0
140,82.2524,83.5230,1.2706,64,E4,38,38,0
141,83.9820,85.8704,1.8884,63,D#4,36,36,0
142,86.2718,88.3486,2.0768,64,E4,36,36,0
143,89.0185,90.5904,1.5719,63,D#4,33,33,0
144,91.9512,103.4573,11.5061,27,D#1,50,50,0
145,91.9617,103.4434,11.4817,39,D#2,52,52,0
146,95.0668,95.4766,0.4098,65,F4,35,35,0
147,95.9318,96.3137,0.3819,63,D#4,35,35,0
148,96.5456,96.9903,0.4447,63,D#4,33,33,0
149,97.6966,98.2110,0.5144,63,D#4,33,33,0
150,98.6226,99.0533,0.4307,63,D#4,33,33,0
151,100.7188,101.2626,0.5439,65,F4,37,37,0
152,102.2981,102.7078,0.4097,64,E4,39,39,0
153,102.6502,103.4748,0.8245,63,D#4,42,42,0
154,105.9187,114.7182,8.7995,35,B1,40,40,0
155,105.9606,114.6729,8.7124,47,B2,41,41,0
156,111.0665,111.3192,0.2527,64,E4,35,35,0
157,111.7130,112.2392,0.5262,63,D#4,35,35,0
158,112.9136,113.3527,0.4391,61,C#4,35,35,0
159,113.7864,114.2723,0.4860,64,E4,35,35,0
160,114.6904,115.1084,0.4180,63,D#4,35,35,0
161,115.0405,115.9775,0.9371,46,A#2,38,38,0
162,115.0527,116.2893,1.2367,34,A#1,38,38,0
163,116.0176,117.3170,1.2994,32,G#1,39,39,0
164,116.0681,117.2613,1.1931,44,G#2,39,39,0
165,117.1916,118.1078,0.9162,28,E1,43,43,0
166,117.2142,118.0433,0.8291,40,E2,43,43,0
167,118.1653,119.0065,0.8413,27,D#1,51,51,0
168,118.9595,119.4681,0.5086,39,D#2,46,46,0
169,119.3584,120.5720,1.2136,51,D#3,42,42,0
170,119.7589,120.5703,0.8114,56,G#3,39,39,0
171,120.1350,120.5894,0.4544,63,D#4,36,36,0
172,120.5981,120.9342,0.3360,60,C4,35,35,0
173,120.8785,121.4043,0.5258,51,D#3,38,38,0
174,121.3990,121.7995,0.4005,39,D#2,34,34,0
175,121.7664,122.4942,0.7278,27,D#1,37,37,0
176,122.3932,122.6213,0.2281,39,D#2,34,34,0
177,122.8198,123.5023,0.6825,51,D#3,33,33,0
178,123.2202,123.8505,0.6303,57,A3,33,33,0
179,123.5998,124.2719,0.6721,63,D#4,33,33,0
180,124.1831,124.5783,0.3952,61,C#4,33,33,0
181,124.5121,125.2225,0.7104,51,D#3,36,36,0
182,125.2190,125.7152,0.4962,39,D#2,33,33,0
183,125.6595,126.6307,0.9712,32,G#1,33,33,0
184,126.5594,127.1389,0.5796,39,D#2,33,33,0
185,127.1024,127.5479,0.4455,44,G#2,33,33,0
186,127.5427,128.0179,0.4751,48,C3,33,33,0
187,127.9917,128.4547,0.4629,51,D#3,33,33,0
188,128.3973,129.0134,0.6161,56,G#3,33,33,0
189,128.7401,128.9368,0.1967,60,C4,33,33,0
190,129.5755,130.4840,0.9085,32,G#1,33,33,0
191,130.4788,130.9661,0.4873,39,D#2,33,33,0
192,130.9626,131.3751,0.4125,44,G#2,33,33,0
193,131.3821,131.8468,0.4647,48,C3,33,33,0
194,131.7980,132.2313,0.4333,51,D#3,33,33,0
195,132.2122,132.7445,0.5324,56,G#3,33,33,0
196,132.6663,132.9133,0.2470,60,C4,33,33,0
197,133.4857,134.5939,1.1082,32,G#1,33,33,0
198,133.6788,134.2303,0.5515,63,D#4,33,33,0
199,134.5678,135.0862,0.5184,39,D#2,33,33,0
200,135.0810,135.5246,0.4436,44,G#2,33,33,0
201,135.5298,136.0222,0.4923,48,C3,33,33,0
202,136.0170,136.5893,0.5724,51,D#3,33,33,0
203,136.3997,138.0889,1.6893,56,G#3,33,33,0
204,137.2174,137.9045,0.6872,60,C4,33,33,0
205,138.1812,139.3325,1.1513,66,F#4,36,36,0
206,139.0977,139.9098,0.8121,37,C#2,34,34,0
207,139.3081,140.2107,0.9026,65,F4,36,36,0
208,140.5515,141.0054,0.4539,66,F#4,35,35,0
209,140.5515,141.3184,0.7669,58,A#3,35,35,0
210,141.2176,141.6210,0.4035,65,F4,34,34,0
211,141.2402,141.6210,0.3808,56,G#3,34,34,0
212,141.6940,142.3305,0.6365,37,C#2,35,35,0
213,142.6088,143.3096,0.7008,66,F#4,35,35,0
