# Instrument 1: Unnamed
Note #,Start (s),End (s),Duration (s),Pitch,Note Name,Velocity,Note-on Velocity,Note-off Velocity
1,0.0000,0.1800,0.1800,62,D4,127,127,0
2,0.1800,0.3600,0.1800,62,D4,127,127,0
3,0.4800,1.6800,1.2000,67,G4,127,127,0
4,1.6800,2.8800,1.2000,74,D5,127,127,0
5,2.8800,3.0600,0.1800,72,C5,127,127,0
6,3.0600,3.2400,0.1800,71,B4,127,127,0
7,3.2400,3.3600,0.1200,69,A4,127,127,0
8,3.3600,4.5600,1.2000,79,G5,127,127,0
9,4.5600,5.1600,0.6000,74,D5,127,127,0
10,5.1600,5.3400,0.1800,72,C5,127,127,0
11,5.3400,5.5200,0.1800,71,B4,127,127,0
12,5.5200,5.6400,0.1200,69,A4,127,127,0
13,5.6400,6.8400,1.2000,79,G5,127,127,0
14,6.8400,7.4400,0.6000,74,D5,127,127,0
15,7.4400,7.6200,0.1800,72,C5,127,127,0
16,7.6200,7.8000,0.1800,71,B4,127,127,0
17,7.8000,7.9800,0.1800,72,C5,127,127,0
18,7.9800,9.1800,1.2000,69,A4,127,127,0
19,9.1800,9.5400,0.3600,62,D4,127,127,0
20,9.5400,9.7200,0.1800,62,D4,127,127,0
21,9.7200,10.9200,1.2000,67,G4,127,127,0
22,10.9200,12.1200,1.2000,74,D5,127,127,0
23,12.1200,12.3000,0.1800,72,C5,127,127,0
24,12.3000,12.4800,0.1800,71,B4,127,127,0
25,12.4800,12.6000,0.1200,69,A4,127,127,0
26,12.6000,13.8000,1.2000,79,G5,127,127,0
27,13.8000,14.4000,0.6000,74,D5,127,127,0
28,14.4000,14.5800,0.1800,72,C5,127,127,0
29,14.5800,14.7600,0.1800,71,B4,127,127,0
30,14.7600,14.8800,0.1200,69,A4,127,127,0
31,14.8800,16.0800,1.2000,79,G5,127,127,0
32,16.0800,16.6800,0.6000,74,D5,127,127,0
33,16.6800,16.8600,0.1800,72,C5,127,127,0
34,16.8600,17.0400,0.1800,71,B4,127,127,0
35,17.0400,17.2200,0.1800,72,C5,127,127,0
36,17.2200,17.8200,0.6000,69,A4,127,127,0
37,17.8200,18.1800,0.3600,62,D4,127,127,0
38,18.1800,18.3600,0.1800,62,D4,127,127,0
39,18.3600,19.2600,0.9000,64,E4,127,127,0
40,19.2600,19.5600,0.3000,64,E4,127,127,0
41,19.5600,19.8600,0.3000,72,C5,127,127,0
42,19.8600,20.1600,0.3000,71,B4,127,127,0
43,20.1600,20.4600,0.3000,69,A4,127,127,0
44,20.4600,20.9400,0.4800,67,G4,127,127,0
45,20.9400,21.1200,0.1800,69,A4,127,127,0
46,21.1200,21.3000,0.1800,71,B4,127,127,0
47,21.3000,21.9000,0.6000,69,A4,127,127,0
48,21.9000,22.0200,0.1200,64,E4,127,127,0
49,22.0200,22.6200,0.6000,66,F#4,127,127,0
50,22.6200,22.9800,0.3600,62,D4,127,127,0
51,22.9800,23.1600,0.1800,62,D4,127,127,0
52,23.1600,24.0600,0.9000,64,E4,127,127,0
53,24.0600,24.3600,0.3000,64,E4,127,127,0
54,24.3600,24.6600,0.3000,72,C5,127,127,0
55,24.6600,24.9600,0.3000,71,B4,127,127,0
56,24.9600,25.2600,0.3000,69,A4,127,127,0
57,25.5600,25.9800,0.4200,74,D5,127,127,0
58,25.9800,27.3000,1.3200,69,A4,127,127,0
59,27.3000,27.6600,0.3600,62,D4,127,127,0
60,27.6600,27.8400,0.1800,62,D4,127,127,0
61,27.8400,28.7400,0.9000,64,E4,127,127,0
62,28.7400,29.0400,0.3000,64,E4,127,127,0
63,29.0400,29.3400,0.3000,72,C5,127,127,0
64,29.3400,29.6400,0.3000,71,B4,127,127,0
65,29.6400,29.9400,0.3000,69,A4,127,127,0
66,30.2400,30.4200,0.1800,67,G4,127,127,0
67,30.4200,30.6000,0.1800,69,A4,127,127,0
68,30.6000,30.7800,0.1800,71,B4,127,127,0
69,30.7800,31.1400,0.3600,69,A4,127,127,0
70,31.3200,31.9200,0.6000,66,F#4,127,127,0
71,31.9200,32.2800,0.3600,74,D5,127,127,0
72,32.2800,32.4600,0.1800,74,D5,127,127,0
73,32.4600,32.8200,0.3600,79,G5,127,127,0
74,32.8200,33.0000,0.1800,77,F5,127,127,0
75,33.0000,33.3600,0.3600,75,D#5,127,127,0
76,33.3600,33.5400,0.1800,74,D5,127,127,0
77,33.5400,33.9000,0.3600,72,C5,127,127,0
78,33.9000,34.0800,0.1800,70,A#4,127,127,0
79,34.0800,34.4400,0.3600,69,A4,127,127,0
80,34.4400,34.6200,0.1800,67,G4,127,127,0
81,34.6200,35.2200,0.6000,74,D5,127,127,0
82,35.2200,35.2800,0.0600,69,A4,127,127,0
83,35.2800,35.3400,0.0600,69,A4,127,127,0
84,35.3400,35.4000,0.0600,69,A4,127,127,0
85,35.4000,35.7000,0.3000,69,A4,127,127,0
86,36.2400,37.4400,1.2000,67,G4,127,127,0
87,37.4400,38.6400,1.2000,74,D5,127,127,0
88,38.6400,38.8200,0.1800,72,C5,127,127,0
89,38.8200,39.0000,0.1800,71,B4,127,127,0
90,39.0000,39.1200,0.1200,69,A4,127,127,0
91,39.1200,40.3200,1.2000,79,G5,127,127,0
92,40.3200,40.9200,0.6000,74,D5,127,127,0
93,40.9200,41.1000,0.1800,72,C5,127,127,0
94,41.1000,41.2800,0.1800,71,B4,127,127,0
95,41.2800,41.4000,0.1200,69,A4,127,127,0
96,41.4000,42.6000,1.2000,79,G5,127,127,0
97,42.6000,43.2000,0.6000,74,D5,127,127,0
98,43.2000,43.3800,0.1800,72,C5,127,127,0
99,43.3800,43.5600,0.1800,71,B4,127,127,0
