# MIDI File Information
Filename,tx437pj1389-exp-tempo95.mid
Duration (seconds),584.53
Tempo Adjustment Factor,1.30
Resolution (ticks/beat),570

# Tempo Changes
Time (seconds),Tempo (BPM)
0.0000,60.00
4.8583,60.02
9.7147,60.05
14.5691,60.07
19.4215,60.10
24.2721,60.12
29.1207,60.14
33.9673,60.17
38.8121,60.19
43.6548,60.22
48.4957,60.24
53.3346,60.26
58.1716,60.29
63.0066,60.31
67.8397,60.34
72.6709,60.36
77.5001,60.39
82.3274,60.41
87.1528,60.43
91.9763,60.46
96.7978,60.48
101.6174,60.51
106.4350,60.53
111.2508,60.55
116.0646,60.58
120.8765,60.60
125.6865,60.63
130.4945,60.65
135.3007,60.68
140.1049,60.70
144.9071,60.72
149.7075,60.75
154.5059,60.77
159.3025,60.80
164.0971,60.82
168.8897,60.85
173.6805,60.87
178.4694,60.89
183.2563,60.92
188.0413,60.94
192.8244,60.97
197.6056,60.99
202.3849,61.02
207.1623,61.04
211.9378,61.07
216.7113,61.09
221.4830,61.11
226.2527,61.14
231.0206,61.16
235.7865,61.19
240.5505,61.21
245.3126,61.24
250.0728,61.26
254.8312,61.29
259.5876,61.31
264.3421,61.33
269.0947,61.36
273.8454,61.38
278.5942,61.41
283.3411,61.43
288.0861,61.46
292.8292,61.48
297.5704,61.51
302.3098,61.53
307.0472,61.56
311.7827,61.58
316.5163,61.60
321.2481,61.63
325.9779,61.65
330.7059,61.68
335.4320,61.70
340.1562,61.73
344.8785,61.75
349.5989,61.78
354.3174,61.80
359.0340,61.83
363.7487,61.85
368.4616,61.88
373.1726,61.90
377.8816,61.93
382.5889,61.95
387.2942,61.98
391.9976,62.00
396.6992,62.03
401.3989,62.05
406.0967,62.07
410.7926,62.10
415.4866,62.12
420.1788,62.15
424.8691,62.17
429.5575,62.20
434.2441,62.22
438.9287,62.25
443.6115,62.27
448.2925,62.30
452.9715,62.32
457.6487,62.35
462.3240,62.37
466.9975,62.40
471.6690,62.42
476.3387,62.45
481.0066,62.47
485.6726,62.50
490.3367,62.52
494.9989,62.55
499.6593,62.57
504.3178,62.60
508.9745,62.62
513.6292,62.65
518.2822,62.67
522.9332,62.70
527.5825,62.72
532.2298,62.75
536.8753,62.77
541.5189,62.80
546.1607,62.82
550.8006,62.85
555.4387,62.87
560.0749,62.90
564.7093,62.92
569.3418,62.95
573.9724,62.97
578.6012,63.00
583.2282,63.03

# Instrument 1: Unnamed 
Note #,Start (s),End (s),Duration (s),Pitch,Note Name,Velocity,Note-on Velocity,Note-off Velocity
1,0.5196,1.4561,0.9366,60,C4,74,37,0
2,1.1201,1.4534,0.3333,63,D#4,66,33,0
3,1.4022,2.1525,0.7503,56,G#3,70,35,0
4,1.9420,2.3603,0.4184,60,C4,66,33,0
5,2.2578,2.7139,0.4561,53,F3,70,35,0
6,2.6113,2.9811,0.3698,56,G#3,66,33,0
7,2.8974,3.3333,0.4359,49,C#3,66,33,0
8,2.9528,3.6586,0.7058,65,F4,76,38,0
9,3.3306,3.6937,0.3630,53,F3,66,33,0
10,3.5425,4.0526,0.5101,46,A#2,66,33,0
11,3.6059,4.3050,0.6991,61,C#4,80,40,0
12,3.9757,4.2753,0.2996,49,C#3,66,33,0
13,4.2146,4.8232,0.6086,43,G2,66,33,0
14,4.3023,5.0755,0.7732,58,A#3,80,40,0
15,4.6599,4.9554,0.2955,46,A#2,66,33,0
16,4.8772,5.4761,0.5990,44,G#2,66,33,0
17,4.9730,5.1092,0.1362,60,C4,74,37,0
18,5.0984,5.1996,0.1012,61,C#4,84,42,0
19,5.1794,5.2873,0.1079,60,C4,82,41,0
20,5.2589,5.3588,0.0998,61,C#4,80,40,0
21,5.3399,5.4100,0.0701,60,C4,78,39,0
22,5.3831,5.7837,0.4006,48,C3,78,39,0
23,5.4046,5.4653,0.0607,61,C#4,78,39,0
24,5.4546,5.5153,0.0607,60,C4,76,38,0
25,5.5126,5.5652,0.0526,61,C#4,76,38,0
26,5.5544,5.6582,0.1039,60,C4,76,38,0
27,5.6205,5.7230,0.1025,58,A#3,78,39,0
28,5.6798,6.3961,0.7163,46,A#2,80,40,0
29,5.6960,5.8579,0.1619,60,C4,80,40,0
30,5.8296,6.6012,0.7716,61,C#4,82,41,0
31,6.1439,6.4865,0.3426,49,C#3,66,33,0
32,6.4420,6.9857,0.5436,43,G2,66,33,0
33,6.4973,7.2406,0.7433,58,A#3,76,38,0
34,6.8224,7.1597,0.3372,46,A#2,66,33,0
35,7.0720,7.5603,0.4883,44,G#2,66,33,0
36,7.1475,7.8935,0.7460,60,C4,80,40,0
37,7.4740,7.8625,0.3885,48,C3,66,33,0
38,7.7519,8.2483,0.4964,43,G2,66,33,0
39,7.8153,8.4965,0.6812,63,D#4,84,42,0
40,8.1363,8.4817,0.3453,46,A#2,66,33,0
41,8.3940,8.8999,0.5059,41,F2,68,34,0
42,8.8216,9.1575,0.3359,44,G#2,66,33,0
43,9.0793,9.8805,0.8012,40,E2,66,33,0
44,9.5379,9.8805,0.3426,50,D3,66,33,0
45,9.8522,10.5952,0.7430,39,D#2,70,35,0
46,10.5507,10.8662,0.3155,51,D#3,66,33,0
47,10.8703,11.3287,0.4585,55,G3,66,33,0
48,11.2249,11.6416,0.4167,58,A#3,66,33,0
49,11.5647,11.9720,0.4072,63,D#4,66,33,0
50,12.2875,13.0062,0.7187,63,D#4,70,35,0
