time_ms,amplitude,velocity
0.00,0.087204,27
10.00,0.405728,127
20.00,0.301617,94
30.00,0.373053,116
40.00,0.278485,87
50.00,0.335672,105
60.00,0.296287,92
70.00,0.352351,110
80.00,0.314687,98
90.00,0.356522,111
100.00,0.306157,95
110.00,0.369163,115
120.00,0.338384,105
130.00,0.380934,119
140.00,0.332192,103
150.00,0.359483,112
160.00,0.380685,119
170.00,0.349369,109
180.00,0.373063,116
190.00,0.344520,107
200.00,0.382244,119
210.00,0.280281,87
220.00,0.389719,121
230.00,0.337396,105
240.00,0.358443,112
250.00,0.266705,83
260.00,0.344646,107
270.00,0.317947,99
280.00,0.305982,95
290.00,0.265527,83
300.00,0.304979,95
310.00,0.281410,88
320.00,0.255508,79
330.00,0.265095,82
340.00,0.285532,89
350.00,0.249802,78
360.00,0.200539,62
370.00,0.275143,86
380.00,0.242903,76
390.00,0.245130,76
400.00,0.185987,58
410.00,0.248486,77
420.00,0.228675,71
430.00,0.217471,68
440.00,0.197311,61
450.00,0.238024,74
460.00,0.198530,62
470.00,0.207905,65
480.00,0.210961,66
490.00,0.225144,70
500.00,0.189139,59
510.00,0.176241,55
520.00,0.217829,68
530.00,0.201369,63
540.00,0.183576,57
550.00,0.163475,51
560.00,0.197642,61
570.00,0.180029,56
580.00,0.166589,52
590.00,0.156542,49
600.00,0.180217,56
610.00,0.148664,46
620.00,0.156695,49
630.00,0.158468,49
640.00,0.169796,53
650.00,0.132489,41
660.00,0.138701,43
670.00,0.150785,47
680.00,0.147063,46
690.00,0.127851,40
700.00,0.121501,38
710.00,0.142139,44
720.00,0.133315,41
730.00,0.124746,39
740.00,0.125053,39
750.00,0.136009,42
760.00,0.125754,39
770.00,0.120817,37
780.00,0.121787,38
790.00,0.128829,40
800.00,0.107314,33
810.00,0.114203,35
820.00,0.113986,35
830.00,0.118950,37
840.00,0.101453,31
850.00,0.104929,32
860.00,0.108611,33
870.00,0.107567,33
880.00,0.101977,31
890.00,0.099933,31
900.00,0.104282,32
910.00,0.098169,30
920.00,0.093956,29
930.00,0.094143,29
940.00,0.096481,30
950.00,0.084745,26
960.00,0.091702,28
970.00,0.085831,26
980.00,0.097378,30
990.00,0.082125,25
1000.00,0.090501,28
1010.00,0.082840,25
1020.00,0.090748,28
1030.00,0.087610,27
1040.00,0.087080,27
1050.00,0.080940,25
1060.00,0.086460,27
1070.00,0.082112,25
1080.00,0.084101,26
1090.00,0.077118,24
1100.00,0.077733,24
1110.00,0.082093,25
1120.00,0.068623,21
1130.00,0.080706,25
1140.00,0.075700,23
1150.00,0.078542,24
1160.00,0.068132,21
1170.00,0.080299,25
1180.00,0.074219,23
1190.00,0.078486,24
1200.00,0.065826,20
1210.00,0.079207,24
1220.00,0.072429,22
1230.00,0.073237,22
1240.00,0.065945,20
1250.00,0.074307,23
1260.00,0.070752,22
1270.00,0.061886,19
1280.00,0.072998,22
1290.00,0.068966,21
1300.00,0.071329,22
1310.00,0.057857,18
1320.00,0.073054,22
1330.00,0.066920,20
1340.00,0.070798,22
1350.00,0.054572,17
1360.00,0.070802,22
1370.00,0.065232,20
1380.00,0.066985,20
1390.00,0.053760,16
1400.00,0.067656,21
1410.00,0.060881,19
1420.00,0.061960,19
1430.00,0.055164,17
1440.00,0.063605,19
1450.00,0.063148,19
1460.00,0.048853,15
1470.00,0.065136,20
1480.00,0.060465,18
1490.00,0.060612,18
1500.00,0.048266,15
1510.00,0.063247,19
1520.00,0.059207,18
1530.00,0.055649,17
1540.00,0.048204,15
1550.00,0.060623,18
1560.00,0.056714,17
1570.00,0.054118,16
1580.00,0.043921,13
1590.00,0.056255,17
1600.00,0.055788,17
1610.00,0.041765,13
1620.00,0.053983,16
1630.00,0.052175,16
1640.00,0.053896,16
1650.00,0.041216,12
1660.00,0.051063,15
1670.00,0.049675,15
1680.00,0.048820,15
1690.00,0.040188,12
1700.00,0.049294,15
1710.00,0.046508,14
1720.00,0.044259,13
1730.00,0.039381,12
1740.00,0.048848,15
1750.00,0.045029,14
1760.00,0.036742,11
1770.00,0.043210,13
1780.00,0.046489,14
1790.00,0.044255,13
1800.00,0.033904,10
1810.00,0.042541,13
1820.00,0.043223,13
1830.00,0.043060,13
1840.00,0.033419,10
1850.00,0.042114,13
1860.00,0.040339,12
1870.00,0.039538,12
1880.00,0.036892,11
1890.00,0.041318,12
1900.00,0.040026,12
1910.00,0.034380,10
1920.00,0.040977,12
1930.00,0.040508,12
1940.00,0.040728,12
1950.00,0.034384,10
1960.00,0.040107,12
1970.00,0.039697,12
1980.00,0.040799,12
1990.00,0.035728,11
2000.00,0.039057,12
2010.00,0.037946,11
2020.00,0.039305,12
2030.00,0.038523,12
2040.00,0.037073,11
2050.00,0.039298,12
2060.00,0.036162,11
2070.00,0.042211,13
2080.00,0.035937,11
2090.00,0.038601,12
2100.00,0.036093,11
2110.00,0.041821,13
2120.00,0.035138,10
2130.00,0.038563,12
2140.00,0.037508,11
2150.00,0.039828,12
2160.00,0.035879,11
2170.00,0.038871,12
2180.00,0.039524,12
2190.00,0.034862,10
2200.00,0.039044,12
2210.00,0.041434,12
2220.00,0.039160,12
2230.00,0.034265,10
2240.00,0.038588,12
2250.00,0.040478,12
2260.00,0.040423,12
2270.00,0.034124,10
2280.00,0.038647,12
2290.00,0.039747,12
2300.00,0.040829,12
2310.00,0.034965,10
2320.00,0.037760,11
2330.00,0.040332,12
2340.00,0.034178,10
2350.00,0.038758,12
2360.00,0.040473,12
2370.00,0.038153,11
2380.00,0.032931,10
2390.00,0.039191,12
2400.00,0.039820,12
2410.00,0.037684,11
2420.00,0.032597,10
2430.00,0.038461,12
2440.00,0.038521,12
2450.00,0.037868,11
2460.00,0.032811,10
2470.00,0.036888,11
2480.00,0.037151,11
2490.00,0.035210,11
2500.00,0.034031,10
2510.00,0.036446,11
2520.00,0.035911,11
2530.00,0.029858,9
2540.00,0.035356,11
2550.00,0.034796,10
2560.00,0.033433,10
2570.00,0.027779,8
2580.00,0.033139,10
2590.00,0.032828,10
